Speaker,Time,Date,Duration,Operator,Notes,Commander,Notes,Command and Control,Notes,Critical Functions,Notes,Consequence,Notes,AWS as a Whola,Notes,Study or pre-R&D,Notes,R&D,Notes,Aquisition,Notes,Deployment,Notes,Use,Notes,Post-Use,Notes,Life Cycle,Notes,Parameters of use,Notes,Environment,Notes,Human-Machine Interaction,Notes
SWITZERLAND,11:26:08,0:00:00,0:03:32,,,,,,,,,[04] Support,ATK: human control has to be present at some key stages. The actual decision to deploy an autonomous weapon system and the assessments and decisions regarding its use in a specific attack remain eminently critical touch points,,,,,,,,,,,[01] Caveat,"Use: We think it is justified to insert the word "" human "" here in these preliminary considerations despite the broadly shared understanding that the human does not have to be present at all stages of an autonomous weapon used for compliance with international law, including IHL. [...] But human control has to be present at some key stages. The actual decision to deploy an autonomous weapon system and the assessments and decisions regarding its use in a specific attack remain eminently critical touch points. And human control must be present when implementing and imposing the restrictions.",[04] Support,AS The actual decision to deploy an autonomous weapon system and the assessments and decisions regarding its use in a specific attack remain eminently critical touch points. And human control must be present when implementing and imposing the restrictions.,,,,,,,,
PAKISTAN,12:21:33,0:00:00,0:04:42,,,,,[04] Support,"support the proposals of all those Delegates who have suggested adding the word "" human control. "" While I do acknowledge that there is the element of human command and control in our guiding principles, [...] We believe that now we need to have a discussion on how and what element of human control we would require in these weapon systems to ensure compliance with international law, in particular IHL",,,,,,,[04] Support,[IHL requirement] human control in particularly over the effects of these weapon systems is an essential requirement for compliance with IHL,,,,,[04] Support,"DEPLOY: application of IHL, we are happy with the way the text is framed right now. In particular, the second paragraph, we believe it is directly it is coming, it is based on our guiding principle that was adopted in 2019. We have added another stage in terms of deployment. And we are happy to support that as well.",[04] Support,Use: Human control in general may be a broader or perhaps a bit vague term [...] we would support the suggestion [...] to qualify that during the use and effects of the weapon systems. And for my Delegation it is very difficult to anticipate any scenario of the use of those weapon systems in which human control does not exist over the effects of those weapon systems that those users will be able to comply with the IHL scenarios. But we are open to be persuaded otherwise.,[04] Support,EF: Human control in general may be a broader [...] we would support the suggestion that was made to qualify that during the use and effects of the weapon systems. And for my Delegation it is very difficult to anticipate any scenario of the use of those weapon systems in which human control does not exist over the effects of those weapon systems that those users will be able to comply with the IHL scenarios. But we are open to be persuaded otherwise. We believe that human control in particularly over the effects of these weapon systems is an essential requirement for compliance with IHL ,,,,,,,,
BRAZIL,11:37:21,0:00:00,0:02:34,,,,,[04] Support,"that was the consensus possible then and it represented a welcome recognition of the importance of the element of control, but even at that moment when we adopted this, we understood that as being tied to human control. And we recall in this regard guiding principle D which makes a reference to the need for human responsible chain of command of human command and control. In this regard, we support the language of the first sentence, but we stress the need like other Delegations have already mentioned to insert the word human in the beginning of the sentence. And we also would prefer the formulation human control over the use and effects of weapon systems and we could in order to be more clear to insert autonomous weapon systems or lethal autonomous weapon systems there",,,[04] Support,"ATK: human control is crucial to ensure that such systems comply, the operation of such systems complies with the principles of IHL, in particular distinction, proportionality and precaution in attack",,,,,,,,,,,[04] Support,Use: And we also would prefer the formulation human control over the use and effects of weapon systems and we could in order to be more clear to insert autonomous weapon systems or lethal autonomous weapon systems there.,[04] Support,EF: we also would prefer the formulation human control over the use and effects of weapon systems,,,,,,,,
SIERRA LEONE,12:31:19,0:00:00,0:02:05,,,,,,,,,[99] Something else,"ATK: [listing IHL principles] distinction, proportionality and precaution in attack",,,,,,,,,,,[04] Support,Use: prudent to specifically mention the need for human control over the use and effects of weapons systems,[04] Support,EF: prudent to specifically mention the need for human control over the use and effects of weapons systems,,,,,,,,
PERU,11:17:32,0:00:00,0:02:33,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: human control should be including on the use and effects of autonomous weapons systems.,[04] Support,EF: human control should be including on the use and effects of autonomous weapons systems.,,,,,,,,
SWITZERLAND,11:41:05,0:00:00,0:03:21,,,,,,,,,,,,,,,,,[98] Unclear,VAL: systems that cannot set their own goals or work without human validation are prohibited,,,,,[04] Support,"EF: laws that work without human control and whose effects are not sufficiently predictable, reliable, traceable should be prohibited.",,,,,,,,
AUSTRIA,11:23:08,0:00:00,0:04:20,,,,,,,[04] Support,"TGT/ENG: And then the last tier of our approach is the assessment of the context in which the weapon can be and is used and limitations that may be required to be set with regard to the duration, geographical area, number of engagement and the types of targets.",,,,,,,[99] Something else,DEV: [developing norms] developing [...] positive obligations the states have to ensure,,,,,[03] Direct use,"Use: the last tier of our approach is the assessment of the context in which the weapon can be and is used and limitations that may be required to be set with regard to the duration, geographical area, number of engagement and the types of targets",[99] Something else,AS: An adequate assessment of the system. And then the last tier of our approach is the assessment of the context in which the weapon can be and is used ,,,,,,,,
BRAZIL,11:51:05,0:00:00,0:04:19,,,,,,,[03] Direct use,"CF/t/e: that is not to say, however, that all weapon systems that are, that have autonomy in those critical functions should be prohibited. That would, of course, depend on an assessment of other critical elements such as the degree of human control and the characteristics of its use.",,,,,,,,,,,,,[04] Support,"Use: that is not to say, however, that all weapon systems [...], that have autonomy in those critical functions should be prohibited. That would, of course, depend on an assessment of other critical elements such as the degree of human control and the characteristics of its use.",[99] Something else,AS: assessment of other critical elements,,,,,,,,
ARGENTINA,11:05:49,0:00:00,0:03:23,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: Argentina agrees with the need to strengthen the human control aspect in any decision linked to the use of this type of weapons.,,,,,,,,,,
AUSTRIA,11:05:37,0:00:00,0:07:34,,,,,,,,,,,,,[04] Support,"if there is an absence of meaningful human control or if a weapon systems cannot meet the requirement of meaningful human control, it should also be prohibited",,,,,,,[99] Something else,Use/a: something that is also hugely important is that we keep in mind the difference between the use and design. [...] [doesn't talk about human control],,,,,,,,,,
CHINA,15:35:10,0:00:00,0:03:15,,,,,,,,,,,,,,,[04] Support,"RES/DEV: All countries, especially the major powers when researching, developing and applying the AI technology in the military field must adopt a prudent and responsible attitude and make sure that AI is always under human control.",,,,,,,,,,,,,,,,
PAKISTAN,11:46:21,0:00:00,0:07:36,,,,,,,,,,,,,,,[99] Something else,DEV: [developing norms] obligations that this group would be developing,,,,,,,,,,,,,,,,
PAKISTAN,16:54:46,0:00:00,0:06:31,,,,,,,,,,,,,,,,,,,,,[04] Support,"Use: In our working paper, we outlined that any weapon system that takes decision on the use of force without human control is something that would lead to incompatibility regarding the application of IHL. But we are also open to the idea of mentioning the meaningful human control, but we could have some additional benefits if we could specify how to arrive at that level of control",,,,,,,,,,
ARGENTINA,12:08:25,0:00:00,0:01:41,,,,,,,[04] Support,"TGT/e: Meaningful human control is vital for decision making at the tactical and operational level, particularly in highly populated areas where it is very difficult to identify targets. It is important to underscore the reliability and the traceability of human control in both national and international governance",,,,,,,,,,,,,[99] Something else,Use: [deployment],,,,,,,,,,
IRELAND,11:32:19,0:00:00,0:01:32,,,,,,,,,[99] Something else,ATK: [listing IHL principles] IHL applies in the use of violence both in attack and in defense.,,,,,,,,,,,[99] Something else,"Use: [suggestion to remove ""in attack"" from] IHL applies in the use of violence both in attack and in defense. Furthermore, we wonder whether the qualifier in the circumstances of their use is also necessary here. ",,,,,,,,,,
INDIA,17:24:20,0:00:00,0:02:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),12:11:48,0:00:00,0:03:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENMARK,12:18:10,0:00:00,0:02:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,15:30:31,0:00:00,0:04:55,,,,,,,,,,,,,[00] Oppose,[IHL requirement]: our Delegation does not believe there is an existing IHL requirement of meaningful human control,,,,,,,,,,,,,,,,,,
INDIA,17:18:50,0:00:00,0:02:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND,16:06:29,0:00:00,0:03:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRELAND,15:38:09,0:00:00,0:01:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,12:00:36,0:00:00,0:03:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIAN FEDERATION,12:23:48,0:00:00,0:14:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,12:38:56,0:00:00,0:15:15,,,,,,,,,,,,,,,,,,,,,[00] Oppose,"Use: And just to explain this a little bit more, the paragraph refers to the operation of the system, in other words, to how the system is used. And for reasons that we have discussed in the past, we do not think it makes sense to prohibit a system based on how it is used. [...] And so we have spent a lot of time really trying to focus on capabilities rather than circumstances of use and I think this is a good illustration of why the approach that focuses on capabilities rather than potential uses is in our view the better way to approach something in the form of an instrument.",,,,,,,,,,
JAPAN,12:15:46,0:00:00,0:02:30,,,,,[03] Direct use,"human control "" can be interpreted in two ways. One refers to the command and control of military forces as concept familiar in military context. The other refers to the literal control of machines by human control. While the former is straightforward and fine with us, the latter requires careful considerations.",,,,,,,,,,,,,,,[00] Oppose,"Use: human control should be considered in relation to the use of weapon systems and the circumstances in which they are used. And that it is not something that is required at all times and in all processes from the beginning to the end of the usage of weapon systems. So our discussion, through our discussion, we have come to understand that Austria's proposal for human control primarily emphasizes the human control of machines. However, Japan cannot accept this interpretation without clear understanding of its specific implications.",,,,,,,,,,
UNITED STATES,10:47:04,0:00:00,0:08:43,,,,,,,,,,,,,,,,,,,,,[01] Caveat,"Use: regard to the sixth bullet, commitment to retaining human responsibility and meaningful human control over the use of laws, we would like to explain why we do not think these are useful transparency and confidence building measures. So first, with regard to states expressing a commitment to retaining human responsibility, I think we would see this to be counterproductive. We view states and individuals as responsible for the use of autonomous weapon systems and we are concerned with this language because it suggests that responsibility is only a commitment and that, in fact, machines could be responsible. We do not think that states or individuals can use laws and thereby evade their responsibilities in this regard and so we want to be careful not to use language that would implicitly endorse this argument and undermine what we view to be existing legal principles related to responsibility.",,,,,,,,,,
POLAND,11:11:41,0:00:00,0:02:53,,,,,[03] Direct use,man responsibility cannot be placed on machines and we must ensure that they are operated within a responsible human chain of command and control in a manner consistent with states obligations under international humanitarian law.,,,,,,,,,[98] Unclear,"DEV: rapid development of emerging technologies is having a significant impact militarily, laws has become one of the key issues in the field of arms control and disarmament",,,,,[01] Caveat,Use: Military use of new technologies should be considered in a comprehensive manner with a proper understanding of the associated risks and benefits and taking into account both security and humanitarian considerations. [...] Weapons systems whose operation does not comply with IHL may not be used.,,,,,,,,,,
EL SALVADOR,11:57:04,0:00:00,0:01:57,,,,,,,,,,,,,,,[04] Support,"DEV: Protocols 06 presented by the group there was a number of prohibitions on the design, development",[04] Support,"ACQ: draft Protocols 06 presented by the group there was a number of prohibitions on the design, development, production, acquisition, deployment, transfer or use of autonomous weapon systems which cannot be used without significant human control",[04] Support,"DEPLOY: systems which cannot be used without significant human control including [...], we believe there is a need to take into account that the prohibition must apply on the production and not just the use or deployment",[04] Support,"Use: As a member of the G17, we reiterate that in the draft Protocols 06 presented by the group there was a number of prohibitions on the design, development, production, acquisition, deployment, transfer or use of autonomous weapon systems which cannot be used without significant human control ",,,,,,,,,,
IRELAND,15:28:18,0:00:00,0:01:30,,,,,,,,,,,,,,,,,,,[04] Support,DEPLOY: suggest adding or users to the end of this paragraph in order to encapsulate the full range of agents that could be involved in the deployment and use of autonomous weapons,[04] Support,Use: One of our concerns was limiting the intervention to a sole human user. We would suggest adding or users to the end of this paragraph in order to encapsulate the full range of agents that could be involved in the deployment and use of autonomous weapons systems.,,,,,,,,,,
COSTA RICA,12:21:25,0:00:00,0:02:51,,,,,,,,,,,,,,,,,,,[04] Support,DEPLOY: in favor for legally binding instruments that bands antipersonnel autonomous weapons that operate without human control accompanying regulations that limit the use of such weapons systems in line with IHL and other legal international frameworks limiting the scope and objectives in order to guarantee that such systems are only deployed within the objectives that are designated as military by nature,[04] Support,Use/ACT: [deployment] [bans] antipersonnel autonomous weapons that operate without human control accompanying regulations that limit the use of such weapons systems in line with IHL and other legal international frameworks limiting the scope and objectives in order to guarantee that such systems are only deployed within the objectives that are designated as military by nature.,,,,,,,,,,
IRELAND,11:29:39,0:00:00,0:03:07,,,,,,,[99] Something else,TGT/e: [targeted discussions],,,,,,,[99] Something else,DEV: [metadiscrouse] develop common understanding [...] norms or values that we have collectively developed,,,[99] Something else,PLAN/d: [procedures of GGE] important topics such as human control and ethics could be more pronounced within the work plan,[04] Support,"Use: human element in the use of force. [...] recognize that human beings must retain control over decisions with regard to the use of force, that human beings must exert control over the application of force and that there is clear accountability and responsibility for any decision to use force.",,,,,,,,,,
PAKISTAN,11:59:51,0:00:00,0:02:41,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: Secretariat General's report on laws reaffirms the urgent need to preserve human control over the use of force,,,,,,,,,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),15:12:35,0:00:00,0:03:37,,,,,,,,,,,,,,,[04] Support,"DEV: complete ban on the development, production and use of lethal autonomous of laws that operate without human control",,,,,[04] Support,"Use/a: complete ban on the development, production and use of lethal autonomous of laws that operate without human control ",,,,,,,,,,
ITALY,11:14:49,0:00:00,0:02:54,,,,,,,,,,,,,,,[03] Direct use,"DEV: instrument, the development and use of lethal autonomous weapons systems would fully comply with the principles of international humanitarian law, preserve sufficient human control",,,,,[04] Support,"Use: development and use of lethal autonomous weapons systems would fully comply with the principles of international humanitarian law, preserve sufficient human control and ensure accountability.",,,,,,,,,,
FRANCE,11:01:13,0:00:00,0:03:26,,,,,,,,,,,,,,,[03] Direct use,DEV: giving up lethal autonomous weapon systems that cannot be developed in line with the IHL and functioning outside of any human control and also states will focus on a certain number of principles that will guide the elaboration of national policies and measures for implementation with a view to accompany the development and use of partially autonomous weapon systems that are lethal.,,,,,[04] Support,Use: It will include giving up lethal autonomous weapon systems that cannot be developed in line with the IHL and functioning outside of any human control and also states will focus on a certain number of principles that will guide the elaboration of national policies and measures for implementation with a view to accompany the development and use of partially autonomous weapon systems that are lethal.,,,,,,,,,,
ALGERIA,12:54:26,0:00:00,0:03:57,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: The text focuses on the importance of human judgment in the use of weapon systems. This position is vital to ensure that decisions related to the use of force are not only automatized but incorporate ethical and legal thinking.,,,,,,,,,,
NORWAY,12:36:42,0:00:00,0:02:25,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: function without human control or oversight and which cannot be used in compliance with international humanitarian law,,,,,,,,,,
ESTONIA,10:55:11,0:00:00,0:02:19,,,,,,,,,,,[04] Support,CTRL over laws: humans should continue to be able to make ultimate decisions with regard to the use of lethal force by accepting sufficient and context appropriate control over lethal weapons systems they use. The aim of accepting human control over laws is to ensure that a weapon system operates consistently with international law and that humans remain accountable for decisions over life and death.,,,,,,,,,[04] Support,Use/a: humans must retain ultimate control and responsibility in relation to the use of force in armed conflict. We believe that humans should continue to be able to make ultimate decisions with regard to the use of lethal force by accepting sufficient and context appropriate control over lethal weapons systems they use.,,,,,,,,,,
SWEDEN,12:11:56,0:00:00,0:01:28,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: The use of law that operates without control and human judgment and without a responsible chain of command are prohibited.,,,,,,,,,,
SWEDEN,11:52:09,0:00:00,0:01:52,,,,,,,,,,,,,[04] Support,"However, we would also like to note that the more precise requirements of human judgment and control need to be addressed in the regulations part and be dependent on the situations in which they are used which we still need to agree further on.",,,,,,,[04] Support,"Use: Preserving human control over the use of force is a key objective [...] It would read as follows: Human judgment is essential in order to ensure that lethal autonomous weapons systems can be used in compliance with international law and in particular IHL. [...] However, we would also like to note that the more precise requirements of human judgment and control need to be addressed in the regulations part and be dependent on the situations in which they are used which we still need to agree further on.",,,,,,,,,,
IRELAND,12:26:34,0:00:00,0:01:28,,,,,,,,,,,[04] Support,CTRLOVW: human beings must retain control over decisions over the use of force which is essential for ensuring compliance with IHL.,,,,,,,,,[04] Support,"Use: Crucially, we have reiterated the fundamental importance of the human element in the use of force, and that human beings must retain control over decisions over the use of force which is essential for ensuring compliance with IHL",,,,,,,,,,
PAKISTAN,10:43:47,0:00:00,0:06:05,,,,,,,[04] Support,"ENG/c/t/: the primary [...] issue is what are those functions in which there is autonomy and without context appropriate human involvement and judgment, what kind of problems arise and we need to regulate and prohibit those systems. So in that spirit, we are very much satisfied with these two functions that you have listed, select and engage",,,,,,,,,,,,,[04] Support,ACT: actions which will not constitute to be that human intervention and those actions are nominal human input that can arrive at any stage after the activation without context appropriate human involvement and judgment because we would want those systems to be regulated and fall in the scope of this instrument as well.,,,,,,,,,,
NETHERLANDS,11:47:48,0:00:00,0:01:47,,,,,,,,,,,,,,,,,,,,,[04] Support,"Use: There is, of course, a difference between systems in the sense that more autonomous systems warrant different measures to maintain human judgment and control in order to use such systems in compliance with international law, but that is for a later discussion.",,,,,,,,,,
LUXEMBOURG,12:11:03,0:00:00,0:02:18,,,,,[99] Something else,[characterization] would prefer the term human intervention as it is broader and reflects better the chain of command and control of the system,,,,,[04] Support,COTS: prefer the term human intervention as it is broader and reflects better the chain of command and control of the system,,,,,,,[98] Unclear,"DEPLOY: deploying force or applying force, we were the ones that in our national submission used or submitted the term deploying force where we would, of course, be okay with the term applying force as it seems to have a broader support in the room",[98] Unclear,"Use: A similar consistency problem exists in the next sentence to ensure that laws can be used as appropriate control is mentioned above, but the requirement here is only predictable, reliable, traceable and explainable, but no mention is made here of controllable.",,,,,,,,,,
SOUTH AFRICA,12:05:47,0:00:00,0:03:09,,,,,,,,,,,[04] Support,CTRL over laws: we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws,,,[04] Support,"DEV: we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws, provisions to ensure transparency in the development and deployment of laws",[04] Support,"VER: we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws, [...], machines for international cooperation and verification to prevent an arms race",[04] Support,"DEPLOY: we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws, provisions to ensure transparency in the development and deployment of laws",[99] Something else,Use: [deployment] safeguards to ensure that laws cannot be used in a manner that contravenes IHL and international human rights law.,,,,,,,,,,
CUBA,12:08:21,0:00:00,0:02:21,,,,,,,[04] Support,CF/TGT/ENG: Our Delegation in the context of characterization shares the view that points to the fact that there is a threshold which sets apart certain weapons systems which we tend to call semi-autonomous and then fully autonomous systems. In this distinction you find the critical functions and the retention of meaningful human control. On this particular point our Delegation maintains that the functions of selecting and engaging a target are those that will determine future characterization. ,,,,,,,,,,,[99] Something else,"DEPLOY: [characterization] whether it would be better to use apply or deployment of force, we are in favor of the word apply",[99] Something else,Use/ACT: [metadiscourse][characterization],,,,,,,,,,
CHINA,12:46:40,0:00:00,0:03:41,,,,,,,,,,,,,[99] Something else,[metadiscourse],,,,,,,[99] Something else,"Use: A similar consistency problem exists in the next sentence to ensure that laws can be used as appropriate control is mentioned above, but the requirement here is only predictable, reliable, traceable and explainable, but no mention is made here of controllable.",,,,,,,,,,
GERMANY,11:33:01,0:00:00,0:02:51,,,,,,,,,,,,,,,,,,,,,[99] Something else,u/ACT: [characterization] prefer to keep the notion once activated or after activation [...] We [...] see the activation part as one of the relevant aspects of an emerging technology in the area of laws,,,,,,,,,,
COSTA RICA,15:48:43,0:00:00,0:03:57,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [user]  we do not think that the paragraph should end in “further intervention by human use[r]”. We prefer [...] “without further human intervention,,,,,,,,,,
AUSTRIA,12:28:33,0:00:00,0:01:59,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [characterization],,,,,,,,,,
PAKISTAN,15:23:27,0:00:00,0:04:29,,,,,,,[99] Something else,"CF/t/ENG: [characterization] if a system has some sort of input from humans during the phase of identification but then the other critical functions are being performed autonomously, then a user state can argue that those systems are not categorized as lethal autonomous weapons systems. We would like to ask whether the intention for this recent addition is indeed to rule out those systems which would then fall out of the scope of the instrument that we are trying to negotiate",,,,,,,,,,,,,[99] Something else,Use: [user],,,,,,,,,,
STATE OF PALESTINE,10:30:25,0:00:00,0:06:29,,,,,,,[04] Support,"TGT/ENG: However, insignificant after the system is activated, it is apparent from analysis of the vast range of weapon systems incorporating autonomy that almost all of them allow a human to engage with the system with a nominal human input after the system's activation. [...]. A human input will not materially affect the autonomous process if it does not bring to bear any wider information to inform decisions to select and engage a target with force. In other words, no further human moral and legal reflection is occurring during that human input.",[03] Direct use,"CONS: For example, if a human user was required to press a keyboard button after the system's activation in order for force to be executed without any moral or legal considerations of the consequences, would this amount to a human intervention and therefore take the weapon outside the definition of an [laws]?",,,,,[04] Support,"DEV: would this amount to a human intervention and therefore take the weapon outside the definition of an oath? In other words, would the mindless click of a keyboard button by a human after the system's activation lead the system to fall outside the oath framework and thus the framework containing prohibitions and regulations including the need for meaningful human control? Would not apply to that weapon system at all? The interpretation would be not only completely counterintuitive but more importantly, it would make the framework toothless and undermine all the progress made within these discussions so far. Indeed, a number of weapon companies are priding themselves with developing autonomous weapons with the minimum level of a human input necessary",,,,,[99] Something else,"Use/ACT: [nominal human input] Our working paper submitted at this GGE last year problematized this issue and closed this loophole by introducing the concept of nominal human input and to generate substantive engagement by states and other stakeholders with this area of thought. We define a nominal human input as an input performed by a human after the system's activation and during the autonomous process, but that does not materially affect the process. ",,,,,,,,,,
AUSTRIA,12:36:03,0:00:00,0:05:06,,,,,,,,,,,[04] Support,CTRLOVW: support to have human control over weapon systems even though it is a mistake that it ended up there in this compilation text,,,[99] Something else,DEV: [metadiscrouse] discussions here have developed,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
NEW ZEALAND,17:05:59,0:00:00,0:01:35,,,,,,,[99] Something else,TGT: [characterization]  excludes systems if they are perhaps not developed by a military or military industry but would still otherwise kind of meet the characterization of selecting and engaging a target without further human intervention or intervention by a human user.,,,,,,,[99] Something else,DEV: [characterization] this excludes systems if they are perhaps not developed by a military or military industry but would still otherwise kind of meet the characterization,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
AUSTRIA,16:43:58,0:00:00,0:03:40,,,,,,,[99] Something else,TGT/ENG: [characterization] definition by the ICRC as the most useful and sufficient one which describes autonomous weapon systems as weapons of select and apply force to targets without human intervention,,,,,,,[99] Something else,DEV: [current developments] risk that too much detailed deliberations might be overtaken by technological developments,,,,,[99] Something else,Use/ACT: [metadiscourse][characterization],,,,,,,,,,
ALGERIA,11:06:29,0:00:00,0:02:20,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
REPUBLIC OF KOREA,16:50:46,0:00:00,0:04:22,,,,,,,[99] Something else,"TGT/ENG: [characterization] for the purposes of the work of the GG on loss, autonomy in weapon systems can be characterized by capability to identify, select and engage targets without further human intervention",,,,,,,,,,,,,[99] Something else,Use/ACT: [characterization] ok with rm after activation,,,,,,,,,,
SINGAPORE,16:18:44,0:00:00,0:01:54,,,,,,,[01] Caveat,"ENG:  example, cooling systems, GPS systems that are used in completely manual weapon systems would fit the working characterization as they support the accomplishment of identify, select and engage as part of an attack without further intervention by a human user.",[99] Something else,"ATK: [not related to consequences of an attack] we are concerned about the addition of the phrase support the accomplishment of these tasks as this addition broadens the scope of the characterization to include the potentially inexhaustible list of systems that this group would have to hereafter consider. For example, cooling systems, GPS systems that are used in completely manual weapon systems would fit the working characterization as they support the accomplishment of identify, select and engage as part of an attack without further intervention by a human user.",,,,,,,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
GUATEMALA,16:44:07,0:00:00,0:02:08,,,,,,,,,[99] Something else,ATK/c: [cyber attacks],,,,,,,,,,,[99] Something else,"Use: [risks], the possibilities that these weapons systems will fall into the hands of terrorists and non-state actors and situations where human judgment will not be applied and also the vulnerability of the infrastructure of the systems to cyber attacks and also who will be assigning the responsibility for the use of such systems.",,,,,,,,,,
NEW ZEALAND,16:55:23,0:00:00,0:02:02,,,,,,,,,,,,,,,,,,,,,[99] Something else,"ACT: [deployment] on the point about whether activation is required, for us just an initial reaction, we think it is helpful to have this retained to capture a point in time and to make the link to accountability and this also follows the remaining part of the sentence around further human intervention.",,,,,,,,,,
RUSSIAN FEDERATION,16:02:45,0:00:00,0:14:55,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use/ACT: [characterization],,,,,,,,,,
PANAMA,15:35:59,0:00:00,0:03:51,,,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: [characterization] human intervention, we would like to see that instead of intervention by human user. [...]",,,,,,,,,,
AUSTRIA,12:11:22,0:00:00,0:04:55,,,,,,,[04] Support,CF/TGT/ENG: In our view functional understanding and here I quote the working paper means that those authorizing any use of weapon systems that integrates autonomy in its critical functions of selecting and applying force to a target must have an adequate understanding of the system under consideration. They must understand what circumstances or conditions will trigger the system to apply force including conditions that would trigger an unintended engagement. Moreover it must be possible to trace back the outcome of the use of force to human agency. ,,,,,,,,,,,,,[99] Something else,Use: the functional understanding of the system. We see this as a different element than what has been introduced as context or informed decision. In our view functional understanding and here I quote the working paper means that those authorizing any use of weapon systems that integrates autonomy in its critical functions of selecting and applying force to a target must have an adequate understanding of the system under consideration. They must understand what circumstances or conditions will trigger the system to apply force including conditions that would trigger an unintended engagement. Moreover it must be possible to trace back the outcome of the use of force to human agency,,,,,,,,,,
PAKISTAN,17:34:38,0:00:00,0:03:56,,,,,,,[99] Something else,"CF/t/e: [characterization] when we are talking about the characteristics, we believe that without the need of further human intervention during the critical functions of any weapon systems that could be used as a main characteristics of these weapon systems.",,,,,,,,,,,,,[99] Something else,Use: [metadiscourse] we believe that without the need of further human intervention during the critical functions of any weapon systems that could be used as a main characteristics of these weapon systems.,,,,,,,,,,
PERU,11:59:17,0:00:00,0:03:10,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use/a: [metadiscourse],,,,,,,,,,
MEXICO,17:12:35,0:00:00,0:04:47,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use/a: [metadiscourse],,,,,,,,,,
CHINA,16:40:07,0:00:00,0:03:51,,,,,,,,,,,,,,,,,,,,,[99] Something else,"u/ACT: [characterization] there are different understandings on key terms such as weapon system, activation and human intervention. We propose that the key terminology involved in the characterization be given corresponding explanation. Such explanation of terminology should be made an annex of the working characterization.",,,,,,,,,,
ARGENTINA,11:51:20,0:00:00,0:02:08,,,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: [deployment] Argentina sees the need to limit the use of algorithms or systems that are programmed which seek to identify based on race, gender or any other discriminatory identification countered to international law including IHL.",,,,,,,,,,
NORWAY,12:08:52,0:00:00,0:02:35,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
ARGENTINA,11:14:49,0:00:00,0:02:32,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
FRANCE,12:18:43,0:00:00,0:01:11,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [metadiscourse] we are committed to coherence and clarity and the use of human control we believe should be used in the first and second paragraph.,,,,,,,,,,
PHILIPPINES,15:47:17,0:00:00,0:01:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULGARIA,10:33:01,0:00:00,0:02:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,16:49:17,0:00:00,0:05:10,,,,,,,,,,,,,,,,,,,[98] Unclear,DEPLOY: the question would be how do you define human control in that context? Does it have to be immediate control or control over the circumstances of deployment or control over effect?,,,,,,,,,,,,
BELGIUM,11:01:15,0:00:00,0:03:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUBA,11:20:22,0:00:00,0:02:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
